timestamp,atraccion_id,atraccion_nombre,coord_x,coord_y,velocidad,tiempo_ciclo,visitantes_cola,tiempo_espera,temperatura,ocupacion,estado,velocidad_modelada,limite_izquierdo,limite_derecho,es_continua,velocidad_instantanea,aceleracion,es_maximo,es_minimo
1/3/2024 9:00,1,Dragón Veloz,150,300,21.24,177.51,36,35.5,29.57,82.66,Operativo,63557.13019999999,,191114.22379999998,False,713.04,4,False,False
1/3/2024 9:00,2,Caballos Mágicos,80,200,3.88,308.37,40,68.53,23.26,79.75,Operativo,191114.22379999998,63557.13019999999,472298.67999999993,False,1236.48,4,False,True
1/3/2024 9:00,3,Vista al Cielo,350,350,2.47,485.2,12,32.35,23.31,74.87,Operativo,472298.67999999993,191114.22379999998,100239.42880000001,False,1943.8,4,False,False
1/3/2024 9:00,4,Remolino,120,150,6.65,223.12,8,9.92,23.11,90.98,Operativo,100239.42880000001,472298.67999999993,29810.9278,False,895.48,4,True,False
1/3/2024 9:00,5,Torre del Terror,200,250,11.18,121.33,18,12.13,26.13,78.99,Operativo,29810.9278,100239.42880000001,93514.70079999999,False,488.32,4,False,False
1/3/2024 9:00,6,Navegante,280,180,7.71,215.48,28,33.52,23.4,84.94,Mantenimiento,93514.70079999999,29810.9278,139522.6238,False,864.92,4,False,True
1/3/2024 9:00,7,Aventura,180,100,5.29,263.37,32,46.82,19.12,71.72,Mantenimiento,139522.6238,93514.70079999999,271765.2838,False,1056.48,4,False,True
1/3/2024 9:00,8,Cascada,300,280,9.84,367.87,38,77.66,21.97,69.17,Operativo,271765.2838,139522.6238,432732.92,False,1474.48,4,False,True
1/3/2024 9:00,9,Misterio,250,150,3.02,464.4,33,85.14,19.71,88.24,Operativo,432732.92,271765.2838,808181.9997999999,False,1860.6,4,False,True
1/3/2024 9:00,10,Pequeño Mundo,100,250,1.52,634.93,38,134.04,27.68,92.55,Operativo,808181.9997999999,432732.92,719140.1342,False,2542.72,4,False,False
1/3/2024 9:06,10,Pequeño Mundo,100,250,1.59,598.89,13,43.25,21.78,75.07,Operativo,719140.1342,808181.9997999999,383201.4718,False,2398.56,4,True,False
1/3/2024 9:06,9,Misterio,250,150,3.14,436.97,48,116.53,25.52,87.58,Mantenimiento,383201.4718,719140.1342,140623.52620000005,False,1750.88,4,True,False
1/3/2024 9:06,8,Cascada,300,280,7.84,264.41,33,48.48,23.81,82.11,Operativo,140623.52620000005,383201.4718,127799.3318,False,1060.64,4,True,False
1/3/2024 9:06,6,Navegante,280,180,7.5,252.03,41,57.41,25.77,88.15,Operativo,127799.3318,140623.52620000005,217553.1472,False,1011.12,4,False,False
1/3/2024 9:06,7,Aventura,180,100,4.86,329.06,22,40.22,24.02,81.08,Operativo,217553.1472,127799.3318,106892.2598,False,1319.24,4,False,False
1/3/2024 9:06,4,Remolino,120,150,7.65,230.43,29,37.13,20.74,95.42,Operativo,106892.2598,217553.1472,631781.7982,False,924.72,4,False,False
1/3/2024 9:06,3,Vista al Cielo,350,350,2.51,561.29,33,102.9,29.61,84.64,Operativo,631781.7982,106892.2598,225984.0742,False,2248.16,4,False,False
1/3/2024 9:06,2,Caballos Mágicos,80,200,3.91,335.39,21,39.13,27.5,87.97,Operativo,225984.0742,631781.7982,61379.93980000001,False,1344.56,4,True,False
1/3/2024 9:06,1,Dragón Veloz,150,300,17.9,174.43,33,31.98,27.93,80.21,Operativo,61379.93980000001,225984.0742,31273.878200000003,False,700.72,4,True,False
