timestamp,atraccion_id,atraccion_nombre,coord_x,coord_y,velocidad,tiempo_ciclo,visitantes_cola,tiempo_espera,temperatura,ocupacion,estado
1/3/2024 9:00,1,Dragón Veloz,150,300,21.24,177.51,36,35.5,29.57,82.66,Operativo
1/3/2024 9:00,2,Caballos Mágicos,80,200,3.88,308.37,40,68.53,23.26,79.75,Operativo
1/3/2024 9:00,3,Vista al Cielo,350,350,2.47,485.2,12,32.35,23.31,74.87,Operativo
1/3/2024 9:00,4,Remolino,120,150,6.65,223.12,8,9.92,23.11,90.98,Operativo
1/3/2024 9:00,5,Torre del Terror,200,250,11.18,121.33,18,12.13,26.13,78.99,Operativo
1/3/2024 9:00,6,Navegante,280,180,7.71,215.48,28,33.52,23.4,84.94,Mantenimiento
1/3/2024 9:00,7,Aventura,180,100,5.29,263.37,32,46.82,19.12,71.72,Mantenimiento
1/3/2024 9:00,8,Cascada,300,280,9.84,367.87,38,77.66,21.97,69.17,Operativo
1/3/2024 9:00,9,Misterio,250,150,3.02,464.4,33,85.14,19.71,88.24,Operativo
1/3/2024 9:00,10,Pequeño Mundo,100,250,1.52,634.93,38,134.04,27.68,92.55,Operativo
1/3/2024 9:06,10,Pequeño Mundo,100,250,1.59,598.89,13,43.25,21.78,75.07,Operativo
1/3/2024 9:06,9,Misterio,250,150,3.14,436.97,48,116.53,25.52,87.58,Mantenimiento
1/3/2024 9:06,8,Cascada,300,280,7.84,264.41,33,48.48,23.81,82.11,Operativo
1/3/2024 9:06,6,Navegante,280,180,7.5,252.03,41,57.41,25.77,88.15,Operativo
1/3/2024 9:06,7,Aventura,180,100,4.86,329.06,22,40.22,24.02,81.08,Operativo
1/3/2024 9:06,4,Remolino,120,150,7.65,230.43,29,37.13,20.74,95.42,Operativo
1/3/2024 9:06,3,Vista al Cielo,350,350,2.51,561.29,33,102.9,29.61,84.64,Operativo
1/3/2024 9:06,2,Caballos Mágicos,80,200,3.91,335.39,21,39.13,27.5,87.97,Operativo
1/3/2024 9:06,1,Dragón Veloz,150,300,17.9,174.43,33,31.98,27.93,80.21,Operativo
1/3/2024 9:06,5,Torre del Terror,200,250,11.67,124.29,44,30.38,23.45,76.92,Mantenimiento
1/3/2024 9:12,10,Pequeño Mundo,100,250,1.73,554.93,18,55.49,27.31,97.68,Operativo
1/3/2024 9:12,9,Misterio,250,150,3.32,390.0,48,104.0,26.42,73.09,Operativo
1/3/2024 9:12,8,Cascada,300,280,8.02,382.24,42,89.19,25.68,93.47,Operativo
1/3/2024 9:12,7,Aventura,180,100,3.84,305.54,32,54.32,27.35,72.63,Operativo
1/3/2024 9:12,6,Navegante,280,180,7.68,231.44,35,45.0,28.13,90.26,Operativo
1/3/2024 9:12,5,Torre del Terror,200,250,10.41,125.68,20,13.96,29.65,77.17,Mantenimiento
1/3/2024 9:12,3,Vista al Cielo,350,350,2.82,515.89,35,100.31,31.57,75.09,Operativo
1/3/2024 9:12,2,Caballos Mágicos,80,200,3.42,323.02,18,32.3,22.67,92.73,Operativo
1/3/2024 9:12,1,Dragón Veloz,150,300,20.15,224.34,28,34.9,25.9,84.65,Cerrado
1/3/2024 9:12,4,Remolino,120,150,5.95,280.96,38,59.31,25.03,81.34,Operativo
1/3/2024 9:18,8,Cascada,300,280,10.22,360.86,38,76.18,29.31,85.07,Operativo
1/3/2024 9:18,10,Pequeño Mundo,100,250,1.55,597.62,24,79.68,19.63,88.57,Operativo
1/3/2024 9:18,9,Misterio,250,150,3.58,447.36,26,64.62,27.28,77.27,Operativo
1/3/2024 9:18,6,Navegante,280,180,8.39,245.54,21,28.65,28.17,85.51,Operativo
1/3/2024 9:18,7,Aventura,180,100,5.45,331.61,16,29.48,22.19,90.15,Operativo
1/3/2024 9:18,4,Remolino,120,150,6.79,237.02,37,48.72,23.64,92.77,Operativo
